testing_type,testing_cat,origin_prob_inf,origin_prob_inf_cat,origin_inf,destination_prob_inf,destination_prob_inf_cat,destination_inf,ratio,ratio_trunc
no_testing,No testing,2e-4,20,1209.035,2e-4,20,1209.035,1,1
no_testing,No testing,5e-4,50,2989.2323333333334,2e-4,20,1209.035,2.4724117443525895,2.4724117443525895
no_testing,No testing,0.001,100,5796.606,2e-4,20,1209.035,4.794407109802445,4.794407109802445
no_testing,No testing,0.0015,150,8357.255,2e-4,20,1209.035,6.912335044064067,6.912335044064067
no_testing,No testing,0.0025,250,13070.858166666667,2e-4,20,1209.035,10.810984104402822,10.810984104402822
no_testing,No testing,0.005,500,22303.131333333335,2e-4,20,1209.035,18.447051849891306,15
no_testing,No testing,5e-4,50,2989.2323333333334,5e-4,50,2989.2323333333334,1,1
no_testing,No testing,0.001,100,5796.606,5e-4,50,2989.2323333333334,1.9391620836431025,1.9391620836431025
no_testing,No testing,0.0015,150,8357.255,5e-4,50,2989.2323333333334,2.7957863652172903,2.7957863652172903
no_testing,No testing,0.0025,250,13070.858166666667,5e-4,50,2989.2323333333334,4.372647124451238,4.372647124451238
no_testing,No testing,0.005,500,22303.131333333335,5e-4,50,2989.2323333333334,7.461156861120531,7.461156861120531
no_testing,No testing,0.001,100,5796.606,0.001,100,5796.606,1,1
no_testing,No testing,0.0015,150,8357.255,0.001,100,5796.606,1.4417497066386777,1.4417497066386777
no_testing,No testing,0.0025,250,13070.858166666667,0.001,100,5796.606,2.2549157501245847,2.2549157501245847
no_testing,No testing,0.005,500,22303.131333333335,0.001,100,5796.606,3.847618991757131,3.847618991757131
no_testing,No testing,0.0015,150,8357.255,0.0015,150,8357.255,1,1
no_testing,No testing,0.0025,250,13070.858166666667,0.0015,150,8357.255,1.5640133233539801,1.5640133233539801
no_testing,No testing,0.005,500,22303.131333333335,0.0015,150,8357.255,2.6687149468735054,2.6687149468735054
no_testing,No testing,0.0025,250,13070.858166666667,0.0025,250,13070.858166666667,1,1
no_testing,No testing,0.005,500,22303.131333333335,0.0025,250,13070.858166666667,1.7063249443109123,1.7063249443109123
no_testing,No testing,0.005,500,22303.131333333335,0.005,500,22303.131333333335,1,1
pcr_five_days_after,PCR 5 days after,2e-4,20,699.6095,2e-4,20,1209.035,0.5786511556737398,1
pcr_five_days_after,PCR 5 days after,5e-4,50,1732.0765333333334,2e-4,20,1209.035,1.4326107460357502,1.4326107460357502
pcr_five_days_after,PCR 5 days after,0.001,100,3358.3241,2e-4,20,1209.035,2.7776897277580876,2.7776897277580876
pcr_five_days_after,PCR 5 days after,0.0015,150,4851.3059,2e-4,20,1209.035,4.0125438055970255,4.0125438055970255
pcr_five_days_after,PCR 5 days after,0.0025,250,7597.741866666666,2e-4,20,1209.035,6.284137238927463,6.284137238927463
pcr_five_days_after,PCR 5 days after,0.005,500,13032.4792,2e-4,20,1209.035,10.779240634059393,10.779240634059393
pcr_five_days_after,PCR 5 days after,5e-4,50,1732.0765333333334,5e-4,50,2989.2323333333334,0.5794385782659696,1
pcr_five_days_after,PCR 5 days after,0.001,100,3358.3241,5e-4,50,2989.2323333333334,1.1234737636652976,1.1234737636652976
pcr_five_days_after,PCR 5 days after,0.0015,150,4851.3059,5e-4,50,2989.2323333333334,1.62292701236449,1.62292701236449
pcr_five_days_after,PCR 5 days after,0.0025,250,7597.741866666666,5e-4,50,2989.2323333333334,2.541703360405687,2.541703360405687
pcr_five_days_after,PCR 5 days after,0.005,500,13032.4792,5e-4,50,2989.2323333333334,4.3598080532828,4.3598080532828
pcr_five_days_after,PCR 5 days after,0.001,100,3358.3241,0.001,100,5796.606,0.5793604222884908,1
pcr_five_days_after,PCR 5 days after,0.0015,150,4851.3059,0.001,100,5796.606,0.8369217952712329,1
pcr_five_days_after,PCR 5 days after,0.0025,250,7597.741866666666,0.001,100,5796.606,1.3107224928978556,1.3107224928978556
pcr_five_days_after,PCR 5 days after,0.005,500,13032.4792,0.001,100,5796.606,2.2482948125161517,2.2482948125161517
pcr_five_days_after,PCR 5 days after,0.0015,150,4851.3059,0.0015,150,8357.255,0.5804903523944167,1
pcr_five_days_after,PCR 5 days after,0.0025,250,7597.741866666666,0.0015,150,8357.255,0.9091193061198524,1
pcr_five_days_after,PCR 5 days after,0.005,500,13032.4792,0.0015,150,8357.255,1.5594210299913072,1.5594210299913072
pcr_five_days_after,PCR 5 days after,0.0025,250,7597.741866666666,0.0025,250,13070.858166666667,0.5812733769877823,1
pcr_five_days_after,PCR 5 days after,0.005,500,13032.4792,0.0025,250,13070.858166666667,0.9970637760598963,1
pcr_five_days_after,PCR 5 days after,0.005,500,13032.4792,0.005,500,22303.131333333335,0.5843340562911091,1
pcr_three_days_before,PCR 3 days before,2e-4,20,784.9779,2e-4,20,1209.035,0.6492598642719193,1
pcr_three_days_before,PCR 3 days before,5e-4,50,1938.8377333333333,2e-4,20,1209.035,1.6036241575581627,1.6036241575581627
pcr_three_days_before,PCR 3 days before,0.001,100,3752.452766666667,2e-4,20,1209.035,3.1036758792480503,3.1036758792480503
pcr_three_days_before,PCR 3 days before,0.0015,150,5400.745066666666,2e-4,20,1209.035,4.466988190306043,4.466988190306043
pcr_three_days_before,PCR 3 days before,0.0025,250,8433.691,2e-4,20,1209.035,6.975555711786673,6.975555711786673
pcr_three_days_before,PCR 3 days before,0.005,500,14319.9358,2e-4,20,1209.035,11.844103603286918,11.844103603286918
pcr_three_days_before,PCR 3 days before,5e-4,50,1938.8377333333333,5e-4,50,2989.2323333333334,0.648607239963616,1
pcr_three_days_before,PCR 3 days before,0.001,100,3752.452766666667,5e-4,50,2989.2323333333334,1.255323222896581,1.255323222896581
pcr_three_days_before,PCR 3 days before,0.0015,150,5400.745066666666,5e-4,50,2989.2323333333334,1.8067331222274792,1.8067331222274792
pcr_three_days_before,PCR 3 days before,0.0025,250,8433.691,5e-4,50,2989.2323333333334,2.8213568098922166,2.8213568098922166
pcr_three_days_before,PCR 3 days before,0.005,500,14319.9358,5e-4,50,2989.2323333333334,4.790506124370616,4.790506124370616
pcr_three_days_before,PCR 3 days before,0.001,100,3752.452766666667,0.001,100,5796.606,0.6473534283107506,1
pcr_three_days_before,PCR 3 days before,0.0015,150,5400.745066666666,0.001,100,5796.606,0.931708152437248,1
pcr_three_days_before,PCR 3 days before,0.0025,250,8433.691,0.001,100,5796.606,1.4549360436089671,1.4549360436089671
pcr_three_days_before,PCR 3 days before,0.005,500,14319.9358,0.001,100,5796.606,2.4704000582409775,2.4704000582409775
pcr_three_days_before,PCR 3 days before,0.0015,150,5400.745066666666,0.0015,150,8357.255,0.6462343277387931,1
pcr_three_days_before,PCR 3 days before,0.0025,250,8433.691,0.0015,150,8357.255,1.0091460653049358,1.0091460653049358
pcr_three_days_before,PCR 3 days before,0.005,500,14319.9358,0.0015,150,8357.255,1.7134735986876075,1.7134735986876075
pcr_three_days_before,PCR 3 days before,0.0025,250,8433.691,0.0025,250,13070.858166666667,0.6452285605475866,1
pcr_three_days_before,PCR 3 days before,0.005,500,14319.9358,0.0025,250,13070.858166666667,1.095562021820322,1.095562021820322
pcr_three_days_before,PCR 3 days before,0.005,500,14319.9358,0.005,500,22303.131333333335,0.6420594303992649,1
rapid_test_same_day,Same-day Rapid Test,2e-4,20,822.7080666666667,2e-4,20,1209.035,0.6804667082976643,1
rapid_test_same_day,Same-day Rapid Test,5e-4,50,2034.1671,2e-4,20,1209.035,1.6824716406059377,1.6824716406059377
rapid_test_same_day,Same-day Rapid Test,0.001,100,3941.2573333333335,2e-4,20,1209.035,3.2598372531261157,3.2598372531261157
rapid_test_same_day,Same-day Rapid Test,0.0015,150,5673.740966666666,2e-4,20,1209.035,4.692784713979881,4.692784713979881
rapid_test_same_day,Same-day Rapid Test,0.0025,250,8872.1149,2e-4,20,1209.035,7.338178712775064,7.338178712775064
rapid_test_same_day,Same-day Rapid Test,0.005,500,15118.036666666667,2e-4,20,1209.035,12.504217550911815,12.504217550911815
rapid_test_same_day,Same-day Rapid Test,5e-4,50,2034.1671,5e-4,50,2989.2323333333334,0.6804981591148764,1
rapid_test_same_day,Same-day Rapid Test,0.001,100,3941.2573333333335,5e-4,50,2989.2323333333334,1.3184847793140202,1.3184847793140202
rapid_test_same_day,Same-day Rapid Test,0.0015,150,5673.740966666666,5e-4,50,2989.2323333333334,1.8980595463918997,1.8980595463918997
rapid_test_same_day,Same-day Rapid Test,0.0025,250,8872.1149,5e-4,50,2989.2323333333334,2.9680245329430734,2.9680245329430734
rapid_test_same_day,Same-day Rapid Test,0.005,500,15118.036666666667,5e-4,50,2989.2323333333334,5.057498039909243,5.057498039909243
rapid_test_same_day,Same-day Rapid Test,0.001,100,3941.2573333333335,0.001,100,5796.606,0.6799249997901071,1
rapid_test_same_day,Same-day Rapid Test,0.0015,150,5673.740966666666,0.001,100,5796.606,0.9788039702313158,1
rapid_test_same_day,Same-day Rapid Test,0.0025,250,8872.1149,0.001,100,5796.606,1.5305706304689333,1.5305706304689333
rapid_test_same_day,Same-day Rapid Test,0.005,500,15118.036666666667,0.001,100,5796.606,2.608084224918283,2.608084224918283
rapid_test_same_day,Same-day Rapid Test,0.0015,150,5673.740966666666,0.0015,150,8357.255,0.678900065472056,1
rapid_test_same_day,Same-day Rapid Test,0.0025,250,8872.1149,0.0015,150,8357.255,1.0616063408379905,1.0616063408379905
rapid_test_same_day,Same-day Rapid Test,0.005,500,15118.036666666667,0.0015,150,8357.255,1.8089715662220034,1.8089715662220034
rapid_test_same_day,Same-day Rapid Test,0.0025,250,8872.1149,0.0025,250,13070.858166666667,0.6787706504708075,1
rapid_test_same_day,Same-day Rapid Test,0.005,500,15118.036666666667,0.0025,250,13070.858166666667,1.1566215832117832,1.1566215832117832
rapid_test_same_day,Same-day Rapid Test,0.005,500,15118.036666666667,0.005,500,22303.131333333335,0.6778436821591898,1
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test +
5-day quarantine",2e-4,20,450.5511333333333,2e-4,20,1209.035,0.3726535074115582,1
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test +
5-day quarantine",5e-4,50,1116.2597933333332,2e-4,20,1209.035,0.9232650777962037,1
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test +
5-day quarantine",0.001,100,2164.3391733333333,2e-4,20,1209.035,1.7901377324339933,1.7901377324339933
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test +
5-day quarantine",0.0015,150,3123.893073333333,2e-4,20,1209.035,2.5837904389313238,2.5837904389313238
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test +
5-day quarantine",0.0025,250,4898.773459999999,2e-4,20,1209.035,4.051804505245919,4.051804505245919
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test +
5-day quarantine",0.005,500,8404.938693333334,2e-4,20,1209.035,6.9517745088714,6.9517745088714
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test +
5-day quarantine",5e-4,50,1116.2597933333332,5e-4,50,2989.2323333333334,0.37342690994131483,1
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test +
5-day quarantine",0.001,100,2164.3391733333333,5e-4,50,2989.2323333333334,0.7240451500535756,1
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test +
5-day quarantine",0.0015,150,3123.893073333333,5e-4,50,2989.2323333333334,1.0450486027795096,1.0450486027795096
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test +
5-day quarantine",0.0025,250,4898.773459999999,5e-4,50,2989.2323333333334,1.6388065274729953,1.6388065274729953
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test +
5-day quarantine",0.005,500,8404.938693333334,5e-4,50,2989.2323333333334,2.8117381842852183,2.8117381842852183
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test +
5-day quarantine",0.001,100,2164.3391733333333,0.001,100,5796.606,0.37338041835745495,1
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test +
5-day quarantine",0.0015,150,3123.893073333333,0.001,100,5796.606,0.5389176137438586,1
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test +
5-day quarantine",0.0025,250,4898.773459999999,0.001,100,5796.606,0.8451106492316365,1
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test +
5-day quarantine",0.005,500,8404.938693333334,0.001,100,5796.606,1.4499758467857455,1.4499758467857455
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test +
5-day quarantine",0.0015,150,3123.893073333333,0.0015,150,8357.255,0.37379415529780213,1
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test +
5-day quarantine",0.0025,250,4898.773459999999,0.0015,150,8357.255,0.5861701551526188,1
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test +
5-day quarantine",0.005,500,8404.938693333334,0.0015,150,8357.255,1.0057056645194307,1.0057056645194307
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test +
5-day quarantine",0.0025,250,4898.773459999999,0.0025,250,13070.858166666667,0.3747859090455792,1
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test +
5-day quarantine",0.005,500,8404.938693333334,0.0025,250,13070.858166666667,0.6430288345387779,1
rapid_same_day_5_day_quarantine_pcr,"Same-day Rapid Test +
5-day quarantine",0.005,500,8404.938693333334,0.005,500,22303.131333333335,0.3768501636705901,1
pcr_three_days_before_5_day_quarantine_pcr,"PCR 3 days before +
5-day quarantine",2e-4,20,365.0479266666666,2e-4,20,1209.035,0.30193329942199076,1
pcr_three_days_before_5_day_quarantine_pcr,"PCR 3 days before +
5-day quarantine",5e-4,50,902.7892533333332,2e-4,20,1209.035,0.7467023314737234,1
pcr_three_days_before_5_day_quarantine_pcr,"PCR 3 days before +
5-day quarantine",0.001,100,1747.0591399999998,2e-4,20,1209.035,1.4450029486325868,1.4450029486325868
pcr_three_days_before_5_day_quarantine_pcr,"PCR 3 days before +
5-day quarantine",0.0015,150,2520.3177066666667,2e-4,20,1209.035,2.0845696829840876,2.0845696829840876
pcr_three_days_before_5_day_quarantine_pcr,"PCR 3 days before +
5-day quarantine",0.0025,250,3945.7604399999996,2e-4,20,1209.035,3.263561799286207,3.263561799286207
pcr_three_days_before_5_day_quarantine_pcr,"PCR 3 days before +
5-day quarantine",0.005,500,6732.47876,2e-4,20,1209.035,5.568473005330697,5.568473005330697
pcr_three_days_before_5_day_quarantine_pcr,"PCR 3 days before +
5-day quarantine",5e-4,50,902.7892533333332,5e-4,50,2989.2323333333334,0.30201374555808475,1
pcr_three_days_before_5_day_quarantine_pcr,"PCR 3 days before +
5-day quarantine",0.001,100,1747.0591399999998,5e-4,50,2989.2323333333334,0.5844507703594356,1
pcr_three_days_before_5_day_quarantine_pcr,"PCR 3 days before +
5-day quarantine",0.0015,150,2520.3177066666667,5e-4,50,2989.2323333333334,0.8431320906582817,1
pcr_three_days_before_5_day_quarantine_pcr,"PCR 3 days before +
5-day quarantine",0.0025,250,3945.7604399999996,5e-4,50,2989.2323333333334,1.3199912218265177,1.3199912218265177
pcr_three_days_before_5_day_quarantine_pcr,"PCR 3 days before +
5-day quarantine",0.005,500,6732.47876,5e-4,50,2989.2323333333334,2.2522433886871958,2.2522433886871958
pcr_three_days_before_5_day_quarantine_pcr,"PCR 3 days before +
5-day quarantine",0.001,100,1747.0591399999998,0.001,100,5796.606,0.3013934602420796,1
pcr_three_days_before_5_day_quarantine_pcr,"PCR 3 days before +
5-day quarantine",0.0015,150,2520.3177066666667,0.001,100,5796.606,0.4347919638951943,1
pcr_three_days_before_5_day_quarantine_pcr,"PCR 3 days before +
5-day quarantine",0.0025,250,3945.7604399999996,0.001,100,5796.606,0.6807018520837883,1
pcr_three_days_before_5_day_quarantine_pcr,"PCR 3 days before +
5-day quarantine",0.005,500,6732.47876,0.001,100,5796.606,1.1614518495823245,1.1614518495823245
pcr_three_days_before_5_day_quarantine_pcr,"PCR 3 days before +
5-day quarantine",0.0015,150,2520.3177066666667,0.0015,150,8357.255,0.30157243097962994,1
pcr_three_days_before_5_day_quarantine_pcr,"PCR 3 days before +
5-day quarantine",0.0025,250,3945.7604399999996,0.0015,150,8357.255,0.4721359393724375,1
pcr_three_days_before_5_day_quarantine_pcr,"PCR 3 days before +
5-day quarantine",0.005,500,6732.47876,0.0015,150,8357.255,0.8055849390738945,1
pcr_three_days_before_5_day_quarantine_pcr,"PCR 3 days before +
5-day quarantine",0.0025,250,3945.7604399999996,0.0025,250,13070.858166666667,0.3018746274871597,1
pcr_three_days_before_5_day_quarantine_pcr,"PCR 3 days before +
5-day quarantine",0.005,500,6732.47876,0.0025,250,13070.858166666667,0.5150754965094169,1
pcr_three_days_before_5_day_quarantine_pcr,"PCR 3 days before +
5-day quarantine",0.005,500,6732.47876,0.005,500,22303.131333333335,0.3018624900413834,1
